date;N;N7;age
2016-02-02;843;3752;Total
2016-02-03;876;4074;Total
2016-02-04;811;4338;Total
2016-02-05;799;4642;Total
2016-02-06;249;4749;Total
2016-02-07;191;4841;Total
2016-02-08;1833;5602;Total
2016-02-09;1768;6527;Total
2016-02-10;1719;7370;Total
2016-02-11;1496;8055;Total
2016-02-12;1109;8365;Total
2016-02-13;440;8556;Total
2016-02-14;326;8691;Total
2016-02-15;2705;9563;Total
2016-02-16;1983;9778;Total
2016-02-17;1941;10000;Total
2016-02-18;1766;10270;Total
2016-02-19;1722;10883;Total
2016-02-20;554;10997;Total
2016-02-21;494;11165;Total
2016-02-22;3848;12308;Total
2016-02-23;3132;13457;Total
2016-02-24;3027;14543;Total
2016-02-25;2753;15530;Total
2016-02-26;2465;16273;Total
2016-02-27;617;16336;Total
2016-02-28;613;16455;Total
2016-02-29;4493;17100;Total
2016-03-01;3267;17235;Total
2016-03-02;3095;17303;Total
2016-03-03;2768;17318;Total
2016-03-04;2753;17606;Total
2016-03-05;777;17766;Total
2016-03-06;538;17691;Total
2016-03-07;4592;17790;Total
2016-03-08;3307;17830;Total
2016-03-09;2979;17714;Total
2016-03-10;2810;17756;Total
2016-03-11;2491;17494;Total
2016-03-12;825;17542;Total
2016-03-13;546;17550;Total
2016-03-14;4654;17612;Total
2016-03-15;3181;17486;Total
2016-03-16;2882;17389;Total
2016-03-17;2240;16819;Total
2016-03-18;2065;16393;Total
2016-03-19;581;16149;Total
2016-03-20;473;16076;Total
2016-03-21;2352;13774;Total
2016-03-22;1660;12253;Total
2016-03-23;1260;10631;Total
2016-03-24;926;9317;Total
2016-03-25;285;7537;Total
2016-03-26;320;7276;Total
2016-03-27;232;7035;Total
2016-03-28;223;4906;Total
2016-03-29;1286;4532;Total
2016-03-30;766;4038;Total
2016-03-31;585;3697;Total
2016-04-01;478;3890;Total
2016-04-02;146;3716;Total
2016-04-03;85;3569;Total
2016-04-04;591;3937;Total
2016-04-05;390;3041;Total
2016-04-06;285;2560;Total
2016-04-07;283;2258;Total
2016-04-08;204;1984;Total
2016-04-09;80;1918;Total
2016-04-10;70;1903;Total
2016-04-11;278;1590;Total
2016-04-12;219;1419;Total
2016-04-13;149;1283;Total
2016-04-14;166;1166;Total
2016-04-15;115;1077;Total
2016-04-16;38;1035;Total
2016-04-17;22;987;Total
2016-04-18;147;856;Total
2016-04-19;113;750;Total
2016-04-20;113;714;Total
2016-04-21;83;631;Total
2016-04-22;62;578;Total
2016-04-23;21;561;Total
2016-04-24;22;561;Total
2016-04-25;92;506;Total
2016-04-26;62;455;Total
2016-04-27;56;398;Total
2016-04-28;61;376;Total
2016-04-29;46;360;Total
2016-04-30;13;352;Total
2016-05-01;10;340;Total
2016-05-02;66;314;Total
2016-05-03;55;307;Total
2016-05-04;48;299;Total
2016-05-05;43;281;Total
2016-05-06;32;267;Total
2016-05-07;10;264;Total
2016-05-08;10;264;Total
2016-05-09;60;258;Total
2016-05-10;41;244;Total
2016-05-11;34;230;Total
2016-05-12;29;216;Total
2016-05-13;31;215;Total
2016-05-14;8;213;Total
2016-05-15;9;212;Total
2016-05-16;13;165;Total
2016-05-17;41;165;Total
2016-05-18;41;172;Total
